Exterior Description,Directions,Fireplace Y/N,Irrigation Water Rights Y/N,Inclusions,Basement,Bedrooms Possible,Window Features,Land Lease Y/N,Garage Y/N,Gulf-Front,Baths Full Lower,Interior Amenities,Living Area,Building Area Units,Street Name,Air Conditioning Y/N,Close Price,Parcel Number,FuelDescription,Stories Count,Bathrooms,Association Fee Includes,Bedrooms Upper,Property Style,PropertySubType,Assoc Fee Paid Per,Heating Y/N,Standard Status,Baths Half Lower,Accessory Dwelling Unit,Hot Water,MobileHomeRemainsYN,Public Remarks,description,Waterfront Features,Water Heater Location,Waterfront Footage,Exterior Features,ADU,Adult Family Homes,Baths Three Quarter Main,Open Parking Y/N,Total Parking,Property Subtype,Site Features,Street Suffix,1/2 Baths,Interior Features,Accessibility,Sewer,Zoning Description,Full Baths,Green Energy Generation,Heating,address,Fireplaces Lower,Skirt,Road Surface Type,Security Features,Green Verification NWESH Rating,Covered Spaces,house_size,Park Name,Middle/Junior High School,Tax Annual Amount,Virtual Tour,Building Name,WaterfrontY/N,price,Building Area Total,Subdivision Name,Year Built,NWM_ShowMapLink,MLS Area,Accessory Dwelling Unit Y/N,Bedrooms Lower,Baths Three Quarter Garage,Home Owner Assoc,HOA / Comm Assn,Community Features,Baths Full Garage,Lot Size Units,ModificationTimestamp,Pool Type,Green Building Verification Type,Baths Full Main,Lot Size Square Feet,Unit Number,Fireplaces Upper,baths,Power Production Type,Baths Three Quarter Upper,Living Area Units,Possession,Levels,Property SubType,Elementary School,Attached Garage,Building Design,Disclosures,Open Parking Spaces,Make,Roof,VA loan,Appliances,Home Owner Assoc:,Pool Features,Body Type,Legal Description,View,Other Rooms,Baths Half Main,Water Heater Type,Total Baths,Land Lease Amount Frequency,Vegetation,Status,Spa,lot_size,High School,Lot Number,Storage Locattion,Total Bathrooms,Builder Name,Baths Half Upper,Cooling,Water Source,New Construction,Senior Community Y/N,Topography,3/4 Baths,Half Baths,Total Actual Rent,Carport Spaces,Water Company,Structure Type,SeniorCommunityYn,Land Lease Amount,Terms,Fireplace Features,Pets Allowed,Flooring,High School District,Green Verification HERS Metric,Carport Y/N,Green Verification Built Green Rating,Parking Features,Entry Location,Special Listing Conditions,Exterior Amenities,AFH,Facing Direction,HOA,Tax Year,Property Type,Total Bedrooms,Energy Efficient,City,Home Owner Association Y/N,Lot Dimensions,url,Lot Size Acres,Total Fireplaces,Fireplaces Main,HOA Fee,Main Level Bedrooms,Buyer Financing,status,AttributionContact,Parking Uncovered Total,Property Condition,Baths Half Garage,Model,Architectural Style,Garage Spaces,ListingTerms,Baths Full Upper,Foundation Details,Waterfront Y/N,Baths Three Quarter Lower,beds,Listing Terms,View Y/N,County,Lot Features,Number of Homes in Park,Assoc/CIC,Latitude,Longitude
,"From Hwy 16, Take the Jackson Street Exit. Drive North on Jackson, Take Right on North 17th (turns into Westgate Blvd); Then First Left on North James. House is on the Left.",Yes,No,"Dishwasher(s), Microwave(s), Refrigerator(s)",,,,No,Yes,,0,"Fireplace, Water Heater",,0 sqft,,No,"$705,000 ",,,,2.5,,3,14 - Split Entry,,,Yes,Closed,0,,,,"MOTIVATED SELLER! Bring all offers and dont miss this meticulously maintained 4-bedroom, 2.5-bathroom (3 places to bathe) home nestled in a quiet neighborhood. This home offers ample parking for RVs, b","MOTIVATED SELLER! Bring all offers and don’t miss this meticulously maintained 4-bedroom, 2.5-bathroom (3 places to bathe) home nestled in a quiet neighborhood. This home offers ample parking for RVs, boats, cars and other toys with a carport, 2-car garage and entry from the front and back of the home. With scenic views of the Puget Sound, plenty of flowers, blueberries, raspberries, marion berries, rhubarb and maple tree, you’ll feel like you’re in a private retreat. This home is primed for a potential ADU downstairs and has been very well taken care of for 51-years by the same homeowner. Sewer scope & inspection report included, as well as a home warranty.",,Garage,,,,,0,,3,Single Family Residence,"Deck, Fenced-Partially, Outbuildings, Patio, RV Parking",,,,,Sewer Connected,,1,,Forced Air,"1728 N James Street
Tacoma, WA 98406",1,,,Partially Fenced,,3,"2,112 SQFT",,Truman,"$3,365 ",Click here,,,"$705,000 ","2,112 sqft",Westgate,1974,Y,24 - North Tacoma,,1,0,,,,0,Square Feet,2025-09-14T11:04:25.804Z,,,0,"10,000 sqft",,1,3 Baths,"Electric, Natural Gas",1,,"Closing, Negotiable",Multi/Split,,Skyline,Yes,,,,,Composition,,"Dishwasher(s), Microwave(s), Refrigerator(s)",,,,,Sound,,0,Gas,3,,,Sold,,0.23 Acres,Silas High School,,,,,0,,Public,No,No,Level,2,0,,,TPU,House,,,,Gas,,"Ceramic Tile, Vinyl, Carpet",Tacoma,,Yes,,"Attached Carport, Driveway, Attached Garage, RV Parking",Split,,Wood,,,No,2025,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2395668-1728-N-James-Street-Tacoma-WA-98406/,0.2296,2,,$0 ,0,,"SOLD: AUG 14, 2025",,,,0,,,3,,1,Poured Concrete,No,1,4 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,Paved,,,47.2662422,-122.5335233
,"From 6th Ave head South on State, left on S 8th, Right on Ferry to home.",No,No,"Dishwasher(s), Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",Unfinished,3,,No,,,0,"Dining Room, Water Heater",,0 sqft,,Yes,"$479,000 ",,,,1,,1,17 - 1 1/2 Stry w/Bsmt,,,Yes,Closed,0,,,,"Charming Craftsman behind a picket fence on a corner lot! Convenient to the shopping and amenities of 6th Ave district, yet not too close! Covered front porch. Walk in to lovely fir floors, original tr","Charming Craftsman behind a picket fence on a corner lot! Convenient to the shopping and amenities of 6th Ave district, yet not too close! Covered front porch. Walk in to lovely fir floors, original trim detail such as wainscotting, plate rail, built-in cabinets! Original leaded glass windows intact. Spacious kitchen. Updated bath! Two bedrooms on main floor, one upstairs. Dry, unfinished basement makes a great place for storage. Off-street parking. Low maintenance lot. Sewer line replaced and plumbing updated in 2017. New furnace in 2020. Home inspection available.",,basement,,,,,0,,0,Single Family Residence,Gas Available,,,,,Sewer Connected,,1,,Forced Air,"1002 S Ferry Street
Tacoma, WA 98405",,,,,,0,"1,454 SQFT",,Hilltop Heritage Middle,"$4,118 ",,,,"$479,000 ","1,870 sqft",Central Tacoma,1920,Y,27 - Central Tacoma,,0,0,,,,0,Square Feet,2025-08-02T11:03:22.383Z,,,1,"2,450 sqft",,,1 Baths,Natural Gas,0,0 sqft,Closing,One and One Half,,Bryant,No,,,,,Composition,,"Dishwasher(s), Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,,,0,gas,1,,,Sold,,0.06 Acres,Foss,,,,,0,Forced Air,Public,No,No,Level,0,0,,,Tacoma,House,,,,,,"Ceramic Tile, Laminate, Softwood, Vinyl",Tacoma,,No,,Driveway,Main,,Wood,,East,No,2025,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2371156-1002-S-Ferry-Street-Tacoma-WA-98405/,0.0562,0,,$0 ,2,,"SOLD: JUL 02, 2025",,,,0,,Craftsman,,,0,Poured Concrete,No,0,3 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Corner Lot, Curbs, Paved, Sidewalk",,,47.2517626,-122.4645882
,From I-5 go West on Hwy 18 which turns into SW Campus Dr & then turns into Northshore Parkway. Turn left on Ridge Dr NE then left on Parkview Drive...home will be on the left.,Yes,No,"Dishwasher(s), Double Oven, Dryer(s), Garbage Disposal, Microwave(s), Refrigerator(s), Washer(s)",Unfinished,4,,No,Yes,,0,"Fireplace, Water Heater",,0 sqft,,Yes,"$990,000 ",,,,2.5,,4,12 - 2 Story,,Annually,Yes,Closed,0,,,,SPECTACULAR VIEW property in Browns Point!This home is located in the sought after Pinnacle Point neighborhood with sweeping views of the Puget Sound & mountain ranges on both levels. The main floor,"SPECTACULAR VIEW property in Browns Point!This home is located in the sought after Pinnacle Point neighborhood with sweeping views of the Puget Sound & mountain ranges on both levels. The main floor is designed for comfort and functionality, featuring a spacious living room, formal dining room, dedicated office, laundry room, and a gourmet kitchen with granite counters and ample cabinetry. Enjoy indoor-outdoor living with a spacious wraparound deck on the main floor. Upstairs, the luxurious primary suite features breathtaking water views, walk-in closet, 5 piece bath, and a private view deck. Three additional bedrooms complete the upper level. Enjoy the STUNNING garden with four seasons of interest. Don’t miss the substantial 3-car garage!",,Garage,,,,,0,,3,Single Family Residence,,,,,,Sewer Connected,,2,,Forced Air,"1875 Parkview Drive NE
Tacoma, WA 98422",,,,,,3,"2,538 SQFT",,Meeker,"$9,266 ",Click here,Pinnacle Point,,"$990,000 ","2,538 sqft",Browns Point,1996,Y,94 - Browns Point,,0,0,,,,0,Square Feet,2025-08-11T11:04:26.094Z,,,0,10706,,,2 / 1 Full / Half Baths,"Electric, Natural Gas",0,0 sqft,"Closing, Negotiable",Two,,Browns Point,Yes,,,,,Composition,,"Dishwasher(s), Disposal, Double Oven, Dryer(s), Microwave(s), Refrigerator(s), Washer(s)",,,,,"Mountain(s), Sound",,1,Gas,3,,Garden Space,Sold,,0.25 Acres,Stadium,54,,,Custom,0,Forced Air,Public,No,No,"Level, Partial Slope, Terraces",0,1,,,Tacoma Public Utilities,House,,,,Gas,,"Hardwood, Vinyl Plank, Carpet",Tacoma,,No,,Attached Garage,Main,,"Brick, Cement Planked, Wood",,Northeast,Yes,2025,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2381582-1875-Parkview-Drive-Ne-Tacoma-WA-98422/,0.2458,1,1,$420 ,0,,"SOLD: JUL 11, 2025",,,Very Good,0,,Northwest Contemporary,3,,2,Poured Concrete,No,0,4 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Curbs, Paved, Sidewalk",,,47.3094132,-122.4190312
,"FROM 512 TAKE A RIGHT ON STEEL STREET, RIGHT ON 102ND ST S, LEFT ON AINSWORTH AVE S, RIGHT ON 97TH ST S, HOUSE ON THE LEFT",Yes,No,"Dishwasher, GarbageDisposal, Microwave, Refrigerator, StoveRange, LeasedEquipment",,4,,No,Yes,,0,,,0 sqft,97th,Yes,"$631,000 ",,,,2.5,,4,12 - 2 Story,,,Yes,Closed,0,,,,"PRIME LOCATION! NEW CONSTRUCTION HOUSE LOCATED IN TACOMA. OPEN FLOOR PLAN FEATURING FOUR BEDROOMS, 2.5 BATH, AND COVERED PATIO WITH EXTRA RV PARKING/BOAT, FULLY FENCED. STAINLESS STEEL APPLIANCES, LUXURY","PRIME LOCATION! NEW CONSTRUCTION HOUSE LOCATED IN TACOMA. OPEN FLOOR PLAN FEATURING FOUR BEDROOMS, 2.5 BATH, AND COVERED PATIO WITH EXTRA RV PARKING/BOAT, FULLY FENCED. STAINLESS STEEL APPLIANCES, LUXURY VINYL PLANK THROUGHOUT DOWNSTAIRS AND BATHROOMS. CARPET IN THR BEDROOMS,WHITE KITCHEN CABINETS, QUARTZ COUNTR TOPS WITH A BIG ISLAND! CONVENIENTLY LOCATED CLOSE TO GROCERY STORES, TACOMA MALL AND EASY ACCESS TO MAJOR FREEWAYS. DONT MISS OUT ON THIS ONE!",,GARAGE,,"Cement Planked, Wood Products",,,0,No,2,,"Arena-Outdoor, Fenced-Fully, Patio, RV Parking",Street,,"Wall to Wall Carpet, Bath Off Primary, Dining Room, Vaulted Ceiling(s), Walk-In Closet(s), Walk-In Pantry, Fireplace, Water Heater",,Sewer Connected,,2,,"Forced Air, Heat Pump, High Efficiency (Unspecified)","1501 97th Street S
Tacoma, WA 98444",,,,,,2,"2,144 SQFT",,Perry G Keithley Mid,$633 ,,,,"$631,000 ","2,144 sqft",Parkland,2023,,63 - Parkland,,0,0,,No,,0,Square Feet,2024-03-20T19:00:10.437Z,,,0,6000,,,2 / 1 Full / Half Baths,Electric,0,0 sqft,Closing,Two,Residential,Christensen Elem,Yes,,,,,Composition,,"Dishwasher, Disposal, Microwave, Refrigerator, Stove/Range",,,,,,,1,electric heat pump,3,,,Sold,,0.14 Acres,Wash High,,,,WEST COAST CUSTOM HOMES,0,Heat Pump,Public,Yes,No,Level,0,1,,,,House,,,,Electric,,"Vinyl Plank, Carpet",Franklin Pierce,,No,,"RV Parking, Attached Garage",Main,,,,,0,2023,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2192375-1501-97th-Street-S-Tacoma-WA-98444/,0.1377,1,1,,0,,"SOLD: MAR 18, 2024",,,Very Good,0,,Traditional,2,,2,Poured Concrete,No,0,4 Beds,"Cash Out, Conventional, FHA, VA Loan",No,Pierce,Cul-De-Sac,,,47.1695624,-122.4540362
,"From SR-16, take exit 1A to S Sprague Ave. Merge onto S Sprague. Left on S 15th St. Right on S Cedar St (becomes Alder). Left on N 27th St. Right on N Warner St. House will be on the left.",Yes,No,"Dishwasher(s), Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",Finished,4,,No,Yes,,1,"Ceramic Tile, Double Pane/Storm Window, Dining Room, Fireplace",,0 sqft,,No,"$930,000 ",,,,2.5,,4,18 - 2 Stories w/Bsmnt,,,Yes,Closed,0,,,,"New price! Tucked between the beloved Proctor District and storybook Old Town, this adorable Colonial is big on space and style! Youll love the bright, airy interior, gleaming hardwood floors, spacious l","New price! Tucked between the beloved Proctor District and storybook Old Town, this adorable Colonial is big on space and style! You’ll love the bright, airy interior, gleaming hardwood floors, spacious layout, and roomy, updated kitchen with sleek modern finishes. Newer plumbing and electrical, too. In addition to four bedrooms, the flexible floor plan includes an expansive basement - featuring egress windows! - with a cozy den that can easily serve as a fifth bedroom. Other standout features include large walk-in closets, a detached garage, and a tranquil backyard retreat. Best part? You’re just steps from the buzz of North 26th’s shops and cafes, and short drive from the waterfront. This one’s a total heart-stealer!",,,,,,,0,,1,Single Family Residence,"Fenced-Partially, Gas Available, Patio",,,,,Sewer Connected,,2,,Forced Air,"2706 N Warner Street
Tacoma, WA 98407",,,,Partially Fenced,,1,"2,613 SQFT",,Mason,"$7,678 ",Click here,,,"$930,000 ","2,613 sqft",North Tacoma,1910,Y,18 - North Tacoma,,0,0,,,,0,Square Feet,2025-07-07T11:02:27.590Z,,,0,"4,800 sqft",,,2 / 1 Full / Half Baths,"Electric, Natural Gas",0,0 sqft,Closing,Two,,Wash-Hoyt,No,,,,,Composition,,"Dishwasher(s), Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,,,1,,3,,,Sold,,0.11 Acres,Stadium,,,,,0,,Public,No,No,Level,0,1,,,Tacoma Public Utilities,House,,,,Wood Burning,,"Ceramic Tile, Hardwood, Vinyl Plank",Tacoma,,No,,Detached Garage,Main,,Wood,,,No,2025,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2356688-2706-N-Warner-Street-Tacoma-WA-98407/,0.1102,1,1,$0 ,0,,"SOLD: JUN 06, 2025",,,,0,,Colonial,1,,1,,No,0,4 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Paved, Sidewalk, Value In Land",,,47.2723441,-122.4813052
,Off 6th Ave in Tacoma left to North Orchard Street than right onto North 18th St. Home is on the Left,Yes,No,"Dishwasher(s), Dryer(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",Finished,3,,No,Yes,,0,Fireplace,,0 sqft,,Yes,"$615,000 ",,,,1.75,,1,17 - 1 1/2 Stry w/Bsmt,,,Yes,Closed,0,,,,"Proctor Charmer! This home is bursting with character, surrounded by lush, mature landscaping both front/back. Enjoy the garden space, FF backyard, & covered BBQ area/carport! Inside, the light-filled liv","Proctor Charmer! This home is bursting with character, surrounded by lush, mature landscaping both front/back. Enjoy the garden space, FF backyard, & covered BBQ area/carport! Inside, the light-filled living & dining areas create a warm, inviting atmosphere. The kitchen features stainless steel appliances & an adorable breakfast nook. On the main floor, you'll find two bedrooms & a beautifully updated full bath. The finished basement offers a spacious bonus room, ¾ bath, laundry area, storage, & access to the one-car garage. Upstairs includes a bedroom plus an extra flex space. Relax on the large back deck or tinker in the detached garage with shop space. All this, just minutes from everything the Proctor District offers. Welcome home!",,,,,,,0,,3,Single Family Residence,"Cable TV, Deck, Fenced-Fully, High Speed Internet, Shop",,,,,Sewer Connected,,1,,"Forced Air, Heat Pump","4801 N 18th Street
Tacoma, WA 98406",,,,Fully Fenced,,3,"2,136 SQFT",,Mason,"$6,356 ",,,,"$615,000 ","2,136 sqft",Proctor,1952,Y,23 - North Tacoma,,0,0,,,,0,Square Feet,2025-07-24T11:03:27.922Z,,,1,"9,750 sqft",,,2 Baths,Electric,0,0 sqft,Closing,One and One Half,,Jefferson,Yes,,,,,Composition,,"Dishwasher(s), Dryer(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,,,0,,2,,Garden Space,Sold,,0.22 Acres,Silas High School,,,,,0,Heat Pump,Public,No,No,Level,1,0,,,TPU,House,,,,Wood Burning,,"Hardwood, Vinyl, Carpet",Tacoma,,No,,"Driveway, Attached Garage, Detached Garage",Main,,Wood,,,No,2025,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2379785-4801-N-18th-Street-Tacoma-WA-98406/,0.2238,1,1,$0 ,2,,"SOLD: JUN 23, 2025",,,,0,,,3,,0,Poured Concrete,No,1,3 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Curbs, Paved, Sidewalk",,,47.2656839,-122.5010487
,From 6th Ave and N Stevens. Head N on Stevens. Left on N 8th Street. Home on Left.,Yes,No,"Dishwasher(s), Microwave(s), Refrigerator(s), See Remarks, Stove(s)/Range(s)",Finished,,,No,Yes,,0,"Double Pane/Storm Window, Dining Room, Fireplace, Sprinkler System, Walk-In Closet(s)","2,321 sqft",0 sqft,,Yes,"$737,500 ",,,,1.75,,0,16 - 1 Story w/Bsmnt.,,,Yes,Closed,0,,,,"Watch the seasons shift through the tree-filled window of this North Tacoma Mid-Century. Updated where it matters: new A/C (2023), sewer line & dual sump pump w/drainage. Oak floors and built-in books","Watch the seasons shift through the tree-filled window of this North Tacoma Mid-Century. Updated where it matters: new A/C (2023), sewer line & dual sump pump w/drainage. Oak floors and built-in bookshelves frame the wood-burning fireplace, w/3 bedrooms & a full bath completing the main level. Downstairs offers a spacious bonus room w/gas fireplace, perfect for movie nights or play, plus a 4th bedroom with walk-in closet & 3/4 bath, ideal as a private suite. Laundry, extra storage & garage add everyday ease. A canopy of trees shades the level yard w/pavers, creating a true North End retreat. Pre-inspected & blocks from Jefferson Park, Proctor & 6th Ave dining. This clinker brick blends timeless character & smart updates with room to grow!",,,,,,,0,,1,Single Family Residence,"Cabana/Gazebo, Fenced-Partially, Gas Available, High Speed Internet, Outbuildings, Patio",,,,,Sewer Connected,,1,,"90%+ High Efficiency, Forced Air","4438 N 8th Street
Tacoma, WA 98406",1,,,Partially Fenced,,1,"2,321 SQFT",,,"$6,687 ",,,,"$737,500 ","2,321 sqft",North Tacoma,1956,Y,23 - North Tacoma,,1,0,,,,0,Square Feet,,,,1,"6,250 sqft",,,2 Baths,"Electric, Natural Gas",0,,Closing,One,,,Yes,,,,,Composition,,"Dishwasher(s), Microwave(s), Refrigerator(s), See Remarks, Stove(s)/Range(s)",,,,,Territorial,,0,,2,,Garden Space,Sold,,0.14 Acres,,,,,,0,Central A/C,Public,No,No,Level,1,0,,,TPU,House,,,,"Gas, Wood Burning",,"Hardwood, Vinyl, Carpet",Tacoma,,No,,Attached Garage,Main,,Brick,,,No,2025,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2428169-4438-N-8th-Street-Tacoma-WA-98406/,0.1435,2,1,$0 ,3,,"SOLD: NOV 01, 2025",,,,0,,,1,,0,Poured Concrete,No,1,4 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,"Curbs, Paved, Sidewalk",,,47.256891,-122.4981224
,"From 38th St, head north on South Asotin St, home is on your left.",Yes,No,,Unfinished,3,,No,Yes,,0,,,0 sqft,,No,"$424,950 ",,,,1.5,,2,17 - 1 1/2 Stry w/Bsmt,,,Yes,Closed,0,,,,"Welcome to this charming craftsman bungalow, full of potential for your personal touch. Located on a peaceful street, this property sits on an oversized corner lot and includes an  attached garage, perf","Welcome to this charming craftsman bungalow, full of potential for your personal touch. Located on a peaceful street, this property sits on an oversized corner lot and includes an attached garage, perfect for a hobbyist's workshop. The kitchen awaits your design ideas, offering a blank slate for new appliances and countertops to create your dream culinary space. Discover the beautiful craftsmanship of the original woodwork in the formal dining and living rooms, as well as the custom fireplace. The large backyard offers ample space for gardening or entertaining. Seize the chance to renovate and make this house your own, blending practicality with unique charm",,,,Wood,,,0,No,1,,"Cable TV, Fenced-Partially, Gas Available, Outbuildings",,,"Bath Off Primary, Ceiling Fan(s), Fireplace, Hardwood",,Sewer Connected,,1,,Forced Air,"3702 S Asotin Street
Tacoma, WA 98418",,,,FullyFenced,,1,"1,220 SQFT",,Giaudrone Mid Sch,"$4,129 ",,,,"$424,950 ","2,012 sqft",South Tacoma,1915,Y,50 - South Tacoma,,0,0,,,,0,Square Feet,2024-09-05T20:22:10.037Z,,,1,"9,000 sqft",,,1 / 1 Full / Half Baths,Oil,0,0 sqft,Closing,OneAndOneHalf,Residential,Reed,Yes,,,,,Composition,,,No,,,,,,0,,2,,,Sold,,0.21 Acres,Lincoln High,,,,,1,,Public,No,No,Level,0,1,,,TPU,House,,,"Cash Out, Conventional, FHA, VA Loan",Wood Burning,,"Hardwood, Vinyl",Tacoma,,No,,Attached Garage,Main,,,,East,0,2024,Residential,3,,Tacoma,,75 x 120,https://www.premierepropertygroup.com/property/21-2271409-3702-S-Asotin-Street-Tacoma-WA-98418/,0.2066,1,1,,1,,"SOLD: SEP 05, 2024",,,Fair,0,,,1,,0,Poured Concrete,No,0,3 Beds,,No,Pierce,Corner Lot,,,47.2245952,-122.4568394
,"From I-5, take the Portland Ave exit heading east. Continue on Portland Ave, then turn Right on 54th St. Info Center will be ahead on the right at East L St.",No,No,"Dishwasher(s), Dryer(s), Garbage Disposal, Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,5,,No,Yes,,0,,,0 sqft,,Yes,"$565,900 ",,,,3,,4,12 - 2 Story,,Monthly,Yes,Closed,0,,,,"Find abundant space at an exceptional value in this gorgeous home! The chef-ready kitchen includes a full suite of stainless-steel appliances, quartz countertops, modern wood cabinetry & walk-in pantry","Find abundant space at an exceptional value in this gorgeous home! The chef-ready kitchen includes a full suite of stainless-steel appliances, quartz countertops, modern wood cabinetry & walk-in pantry. A bedroom and full bath are also found on the first floor, allowing for versatile use of the space. Upstairs, the owner’s retreat includes a luxurious bathroom showcasing a double-sink vanity, step-in shower & a large walk-in closet. Additional features include an upstairs laundry room, spacious upstairs bathroom with a dual sink vanity. If you are working with a licensed broker, please complete the Prospect Registration Agreement (*Site Registration Policy #4898) & submit prior to your first visit to the Heritage Gardens Information Center.",,,,"Cement Planked, Stone",,,0,No,1,,"Cable TV, Electric Car Charging, Fenced-Fully, High Speed Internet, Patio",,,"Bath Off Primary, Ceiling Fan(s), Dining Room, Laminate, Laminate Tile, Walk-In Closet(s), Walk-In Pantry",,Sewer Connected,Residential,3,,"90%+ High Efficiency, Forced Air, Heat Pump, HRV/ERV System","5310 E M Street
Tacoma, WA 98404",,,,PartiallyFenced,NWESH Certified,1,"1,810 SQFT",,First Creek Mid,$0 ,,Heritage Gardens,,"$565,900 ","1,810 sqft",Swan Creek,2024,Y,61 - Southeast Tacoma,,0,0,,,"Athletic Court, CCRs, Park, Playground, Trail(s)",0,Square Feet,2024-08-30T22:58:09.016Z,,"Built Green, Northwest ENERGY STAR",1,2520,,,3 Baths,"Electric, Natural Gas",0,0 sqft,Closing,Two,Residential,Sheridan,Yes,,,,,Composition,,"Dishwasher(s), Dryer(s), Disposal, Microwave(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",Yes,,,,,,0,,3,,,Sold,,0.06 Acres,Lincoln High,27,,,LGI Homes,0,"90%+ High Efficiency, Central A/C, Forced Air, Heat Pump",Public,Yes,No,,0,0,,,Tacoma Public Utilities,House,,,"Cash Out, Conventional, FHA, VA Loan",,,Laminate,Tacoma,55,No,4-Star,"Driveway, Attached Garage",,,,,,58,2024,Residential,5,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2222781-5310-E-M-Street-Tacoma-WA-98404/,0.0579,0,,,1,,"SOLD: AUG 30, 2024",,,Under Construction,0,,Craftsman,1,,2,Poured Concrete,No,0,5 Beds,,No,Pierce,"Paved, Sidewalk",,,47.2085807,-122.4122326
,"From I-5, Take Exit 132, Sprague Exit, East to 9th Street and left to Sheridan Avenue.",Yes,No,"Dishwasher(s), Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",Unfinished,2,,No,Yes,,0,"Ceiling Fan(s), Double Pane/Storm Window, Dining Room, Fireplace, Jetted Tub",,0 sqft,,No,"$385,000 ",,,,1,,0,17 - 1 1/2 Stry w/Bsmt,,,Yes,Closed,0,,,,"Charming craftsman-style home located in the heart of Tacoma! It has spacious fresh painted interiors, huge windows in the living and dining rooms providing ample natural lights.  New flooring on both","Charming craftsman-style home located in the heart of Tacoma! It has spacious fresh painted interiors, huge windows in the living and dining rooms providing ample natural lights. New flooring on both bedrooms, walk-in-tubs for hot baths. Kitchen as originally designed provides a vintage feel and functionality. The partially unfinished attic showcase well structured dormers and great insulation for future expansion. Newly raised foundation enhanced durability and comfort for years to come. Detached two-car garage can be accessed from the alley, fully fenced backyard for privacy, garden and pets. Enjoy the convenience of living just minutes from top medical, shopping and recreation centers. Show and sell! View and make an offer!",,,,,,,0,No,2,Single Family Residence,Fenced-Partially,,,,,Available,,1,,Forced Air,"806 S Sheridan Avenue
Tacoma, WA 98405",,,,Partially Fenced,,2,"1,103 SQFT",,Buyer To Verify,$257 ,,,,"$385,000 ","1,363 sqft",Central Tacoma,1918,Y,28 - Central Tacoma,,0,0,,,,0,Square Feet,2025-06-16T11:04:16.506Z,,,1,"4,940 sqft",,,1 Baths,"Electric, Oil",0,0 sqft,"Closing, Negotiable",,,Buyer To Verify,No,,,,,Composition,,"Dishwasher(s), Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,Territorial,,0,,1,,Garden Space,Sold,,0.11 Acres,Buyer To Verify,,,,,0,,Public,No,No,"Level, Partial Slope",0,0,0,,Tacoma Public Utility,House,,,,Wood Burning,,Carpet,Tacoma,,No,,Detached Garage,,,"Wood, Wood Products",,East,No,2024,Residential,2,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2317046-806-S-Sheridan-Avenue-Tacoma-WA-98405/,0.1134,1,1,$0 ,2,,"SOLD: MAY 16, 2025",,,Average,0,,Craftsman,2,,0,Block,No,0,2 Beds,See Remarks,,Pierce,Paved,,,47.2542983,-122.4569393
